nom_standard,densite
Le Pré-Saint-Gervais,24442.0
Le Raincy,6583.0
Romainville,9642.0
Rosny-sous-Bois,7712.0
Saint-Denis,9204.0
Saint-Ouen-sur-Seine,12490.0
Sevran,7102.0
Stains,7488.0
Tremblay-en-France,1650.0
Vaujours,2032.0
Villemomble,7527.0
Villepinte,3716.0
Villetaneuse,5458.0
Ablon-sur-Seine,5216.0
Alfortville,12241.0
Arcueil,9292.0
Boissy-Saint-Léger,1979.0
Bonneuil-sur-Marne,3391.0
Bry-sur-Marne,5241.0
Cachan,11004.0
Champigny-sur-Marne,6878.0
Charenton-le-Pont,16090.0
Chennevières-sur-Marne,3519.0
Chevilly-Larue,4828.0
Choisy-le-Roi,8527.0
Créteil,8128.0
Fontenay-sous-Bois,9302.0
